emotion,age,gender,recall,train images,validation images,test images,support
Angry,(0-2),Male,0.5757575631141663,304,26,33,363
Angry,(0-2),Female,0.38461539149284363,85,9,13,107
Angry,(4-6),Male,0.40740740299224854,252,28,27,307
Angry,(4-6),Female,0.5,99,8,8,115
Angry,(8-12),Male,0.23333333432674408,201,26,30,257
Angry,(8-12),Female,0.3571428656578064,96,16,14,126
Angry,(15-20),Male,0.4000000059604645,115,15,20,150
Angry,(15-20),Female,1.0,76,7,3,86
Angry,(25-32),Male,0.6079999804496765,1092,146,125,1363
Angry,(25-32),Female,0.4507042169570923,506,72,71,649
Angry,(38-43),Male,0.5483871102333069,506,50,62,618
Angry,(38-43),Female,0.23076923191547394,185,16,26,227
Angry,(48-53),Male,0.53125,270,27,32,329
Angry,(48-53),Female,0.5833333134651184,51,4,12,67
Angry,(60-100),Male,0.1666666716337204,110,8,12,130
Angry,(60-100),Female,0.6666666865348816,47,9,3,59
Disgust,(0-2),Male,0.6176470518112183,241,28,68,337
Disgust,(0-2),Female,0.10000000149011612,61,14,10,85
Disgust,(4-6),Male,0.6153846383094788,148,26,26,200
Disgust,(4-6),Female,0.4000000059604645,102,7,15,124
Disgust,(8-12),Male,0.3333333432674408,245,24,21,290
Disgust,(8-12),Female,0.3333333432674408,225,23,12,260
Disgust,(15-20),Male,0.0,88,8,3,99
Disgust,(15-20),Female,0.0,37,3,1,41
Disgust,(25-32),Male,0.7043010592460632,1219,161,186,1566
Disgust,(25-32),Female,0.678260862827301,1141,123,115,1379
Disgust,(38-43),Male,0.7333333492279053,464,59,60,583
Disgust,(38-43),Female,0.5675675868988037,391,50,37,478
Disgust,(48-53),Male,0.7222222089767456,226,53,36,315
Disgust,(48-53),Female,0.1666666716337204,133,12,6,151
Disgust,(60-100),Male,0.0,42,9,2,53
Disgust,(60-100),Female,0.0,25,10,4,39
Fear,(0-2),Male,0.2142857164144516,236,20,28,284
Fear,(0-2),Female,0.1428571492433548,102,16,7,125
Fear,(4-6),Male,0.39024388790130615,304,37,41,382
Fear,(4-6),Female,0.3333333432674408,186,22,21,229
Fear,(8-12),Male,0.27659574151039124,408,53,47,508
Fear,(8-12),Female,0.4324324429035187,301,36,37,374
Fear,(15-20),Male,0.23076923191547394,189,25,13,227
Fear,(15-20),Female,0.25,128,9,20,157
