emotion,age,recall,train images,validation images,test images,support
Angry,(0-2),0.6086956262588501,389,35,46,470
Angry,(4-6),0.4000000059604645,351,36,35,422
Angry,(8-12),0.2954545319080353,297,42,44,383
Angry,(15-20),0.3913043439388275,191,22,23,236
Angry,(25-32),0.5510203838348389,1598,218,196,2012
Angry,(38-43),0.5909090638160706,691,66,88,845
Angry,(48-53),0.5681818127632141,321,31,44,396
Angry,(60-100),0.2666666805744171,157,17,15,189
Disgust,(0-2),0.6282051205635071,302,42,78,422
Disgust,(4-6),0.6341463327407837,250,33,41,324
Disgust,(8-12),0.42424243688583374,470,47,33,550
Disgust,(15-20),0.25,125,11,4,140
Disgust,(25-32),0.7774086594581604,2360,284,301,2945
Disgust,(38-43),0.876288652420044,855,109,97,1061
Disgust,(48-53),0.5952380895614624,359,65,42,466
Disgust,(60-100),0.1666666716337204,67,19,6,92
Fear,(0-2),0.1428571492433548,338,36,35,409
Fear,(4-6),0.4193548262119293,490,59,62,611
Fear,(8-12),0.3214285671710968,709,89,84,882
Fear,(15-20),0.39393940567970276,317,34,33,384
Fear,(25-32),0.4340175986289978,2651,288,341,3280
Fear,(38-43),0.37662336230278015,715,99,77,891
Fear,(48-53),0.1666666716337204,256,30,30,316
Fear,(60-100),0.3125,121,11,16,148
Happy,(0-2),0.5476190447807312,405,40,42,487
Happy,(4-6),0.7227723002433777,774,90,101,965
Happy,(8-12),0.663551390171051,951,136,107,1194
Happy,(15-20),0.6764705777168274,254,40,34,328
Happy,(25-32),0.8250652551651001,3081,364,383,3828
Happy,(38-43),0.7096773982048035,509,64,62,635
Happy,(48-53),0.7419354915618896,274,37,31,342
Happy,(60-100),0.6000000238418579,176,25,20,221
Sad,(0-2),0.3658536672592163,375,54,41,470
Sad,(4-6),0.5797101259231567,644,96,69,809
Sad,(8-12),0.5180723071098328,582,84,83,749
Sad,(15-20),0.45945945382118225,338,50,37,425
Sad,(25-32),0.4958677589893341,1895,246,242,2383
Sad,(38-43),0.49295774102211,602,73,71,746
Sad,(48-53),0.6969696879386902,269,37,33,339
Sad,(60-100),0.3888888955116272,125,13,18,156
Surprise,(0-2),0.5263158082962036,280,49,38,367
Surprise,(4-6),0.6190476417541504,322,39,42,403
Surprise,(8-12),0.7698412537574768,849,117,126,1092
Surprise,(15-20),0.7727272510528564,331,57,44,432
Surprise,(25-32),0.7382550239562988,2466,295,298,3059
Surprise,(38-43),0.7021276354789734,364,45,47,456
Surprise,(48-53),0.4375,112,7,16,135
Surprise,(60-100),0.6000000238418579,45,6,5,56
Neutral,(0-2),0.5121951103210449,306,28,41,375
Neutral,(4-6),0.5641025900840759,505,62,78,645
Neutral,(8-12),0.6590909361839294,612,72,88,772
Neutral,(15-20),0.7352941036224365,408,53,68,529
Neutral,(25-32),0.6861924529075623,2265,288,239,2792
Neutral,(38-43),0.6268656849861145,554,74,67,695
Neutral,(48-53),0.4583333432674408,193,15,24,232
Neutral,(60-100),0.523809552192688,122,15,21,158
