emotion,age,race,recall,train images,validation images,test images,support
Angry,(0-2),asian,0.5,58,9,10,77
Angry,(0-2),indian,1.0,3,0,1,4
Angry,(0-2),black,1.0,10,0,1,11
Angry,(0-2),white,0.5806451439857483,274,22,31,327
Angry,(0-2),middle eastern,1.0,26,2,2,30
Angry,(0-2),latino hispanic,1.0,18,2,1,21
Angry,(4-6),asian,0.20000000298023224,75,7,10,92
Angry,(4-6),indian,0.0,5,3,0,8
Angry,(4-6),black,0.0,20,2,0,22
Angry,(4-6),white,0.4000000059604645,221,22,20,263
Angry,(4-6),middle eastern,0.0,15,1,2,18
Angry,(4-6),latino hispanic,0.6666666865348816,15,1,3,19
Angry,(8-12),asian,0.125,36,5,8,49
Angry,(8-12),indian,0.0,10,0,3,13
Angry,(8-12),black,1.0,14,3,2,19
Angry,(8-12),white,0.22727273404598236,188,27,22,237
Angry,(8-12),middle eastern,0.5,16,2,4,22
Angry,(8-12),latino hispanic,0.800000011920929,33,5,5,43
Angry,(15-20),asian,0.25,27,3,4,34
Angry,(15-20),indian,1.0,2,0,1,3
Angry,(15-20),black,1.0,11,2,1,14
Angry,(15-20),white,0.4615384638309479,120,12,13,145
Angry,(15-20),middle eastern,1.0,14,1,2,17
Angry,(15-20),latino hispanic,0.0,17,4,2,23
Angry,(25-32),asian,0.4615384638309479,149,17,13,179
Angry,(25-32),indian,0.46666666865348816,41,6,15,62
Angry,(25-32),black,0.4000000059604645,104,11,10,125
Angry,(25-32),white,0.527999997138977,1013,149,125,1287
Angry,(25-32),middle eastern,0.3333333432674408,165,21,21,207
Angry,(25-32),latino hispanic,0.5833333134651184,126,14,12,152
Angry,(38-43),asian,0.4285714328289032,51,5,7,63
Angry,(38-43),indian,0.3333333432674408,4,1,3,8
Angry,(38-43),black,1.0,43,0,4,47
Angry,(38-43),white,0.5614035129547119,475,48,57,580
Angry,(38-43),middle eastern,0.4000000059604645,65,7,10,82
Angry,(38-43),latino hispanic,0.1428571492433548,53,5,7,65
Angry,(48-53),asian,1.0,20,1,2,23
Angry,(48-53),indian,1.0,12,0,2,14
Angry,(48-53),black,0.0,37,3,4,44
Angry,(48-53),white,0.6428571343421936,202,21,28,251
Angry,(48-53),middle eastern,0.3333333432674408,31,3,6,40
Angry,(48-53),latino hispanic,1.0,19,3,2,24
Angry,(60-100),asian,1.0,14,1,2,17
Angry,(60-100),indian,0.0,5,0,0,5
Angry,(60-100),black,1.0,16,4,1,21
Angry,(60-100),white,0.25,96,10,8,114
Angry,(60-100),middle eastern,1.0,22,0,2,24
Angry,(60-100),latino hispanic,1.0,4,2,2,8
Disgust,(0-2),asian,0.30000001192092896,38,3,10,51
Disgust,(0-2),indian,0.0,4,0,0,4
Disgust,(0-2),black,0.0,7,2,1,10
Disgust,(0-2),white,0.6363636255264282,201,32,55,288
Disgust,(0-2),middle eastern,0.20000000298023224,32,4,10,46
Disgust,(0-2),latino hispanic,0.0,20,1,2,23
Disgust,(4-6),asian,0.10000000149011612,39,7,10,56
Disgust,(4-6),indian,0.0,5,0,0,5
Disgust,(4-6),black,0.0,5,2,0,7
Disgust,(4-6),white,0.6774193644523621,173,21,31,225
Disgust,(4-6),middle eastern,0.0,13,1,0,14
Disgust,(4-6),latino hispanic,0.0,15,2,0,17
